price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_outlier_flag
9205000.0,7420.0,4.0,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished,True
9205000.0,8960.0,4.0,3.5,3.5,yes,no,no,no,yes,2.5,no,furnished,True
9205000.0,9960.0,3.0,2.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished,True
9205000.0,7500.0,4.0,2.0,2.0,yes,no,yes,no,yes,2.5,yes,furnished,True
9205000.0,7420.0,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,no,furnished,True
9205000.0,7500.0,3.0,3.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished,True
9205000.0,8580.0,4.0,3.0,3.5,yes,no,no,no,yes,2.0,yes,semi-furnished,True
9205000.0,10500.0,4.5,3.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,True
9205000.0,8100.0,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,True
9205000.0,5750.0,3.0,2.0,3.5,yes,yes,no,no,yes,1.0,yes,unfurnished,True
9205000.0,10500.0,3.0,1.0,2.0,yes,no,yes,no,yes,2.0,yes,furnished,True
9205000.0,6000.0,4.0,3.0,2.0,yes,yes,yes,yes,no,2.0,no,semi-furnished,True
9205000.0,6550.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,True
9205000.0,3500.0,4.0,2.0,2.0,yes,no,no,yes,no,2.0,no,furnished,True
9205000.0,7800.0,3.0,2.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished,True
9100000.0,6000.0,4.0,1.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,False
9100000.0,6600.0,4.0,2.0,2.0,yes,yes,yes,no,yes,1.0,yes,unfurnished,False
8960000.0,8500.0,3.0,2.0,3.5,yes,no,no,no,yes,2.0,no,furnished,False
8890000.0,4600.0,3.0,2.0,2.0,yes,yes,no,no,yes,2.0,no,furnished,False
8855000.0,6420.0,3.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,False
8750000.0,4320.0,3.0,1.0,2.0,yes,no,yes,yes,no,2.0,no,semi-furnished,False
8680000.0,7155.0,3.0,2.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished,False
8645000.0,8050.0,3.0,1.0,1.0,yes,yes,yes,no,yes,1.0,no,furnished,False
8645000.0,4560.0,3.0,2.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,False
8575000.0,8800.0,3.0,2.0,2.0,yes,no,no,no,yes,2.0,no,furnished,False
8540000.0,6540.0,4.0,2.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,False
8463000.0,6000.0,3.0,2.0,3.5,yes,yes,yes,no,yes,0.0,yes,semi-furnished,False
8400000.0,8875.0,3.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,False
8400000.0,7950.0,4.5,2.0,2.0,yes,no,yes,yes,no,2.0,no,unfurnished,False
8400000.0,5500.0,4.0,2.0,2.0,yes,no,yes,no,yes,1.0,yes,semi-furnished,False
8400000.0,7475.0,3.0,2.0,3.5,yes,no,no,no,yes,2.0,no,unfurnished,False
8400000.0,7000.0,3.0,1.0,3.5,yes,no,no,no,yes,2.0,no,semi-furnished,False
8295000.0,4880.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,furnished,False
8190000.0,5960.0,3.0,3.0,2.0,yes,yes,yes,no,no,1.0,no,unfurnished,False
8120000.0,6840.0,4.5,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,False
8080940.0,7000.0,3.0,2.0,3.5,yes,no,no,no,yes,2.0,no,furnished,False
8043000.0,7482.0,3.0,2.0,3.0,yes,no,no,yes,no,1.0,yes,furnished,False
7980000.0,9000.0,4.0,2.0,3.5,yes,no,no,no,yes,2.0,no,furnished,False
7962500.0,6000.0,3.0,1.0,3.5,yes,yes,no,no,yes,2.0,no,unfurnished,False
7910000.0,6000.0,4.0,2.0,3.5,yes,no,no,no,yes,1.0,no,semi-furnished,False
7875000.0,6550.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,yes,furnished,False
7840000.0,6360.0,3.0,2.0,3.5,yes,no,no,no,yes,0.0,yes,furnished,False
7700000.0,6480.0,3.0,2.0,3.5,yes,no,no,no,yes,2.0,no,unfurnished,False
7700000.0,6000.0,4.0,2.0,3.5,yes,no,no,no,no,2.0,no,semi-furnished,False
7560000.0,6000.0,4.0,2.0,3.5,yes,no,no,no,yes,1.0,no,furnished,False
7560000.0,6000.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,False
7525000.0,6000.0,3.0,2.0,3.5,yes,no,no,no,yes,1.0,no,furnished,False
7490000.0,6600.0,3.0,1.0,3.5,yes,no,no,no,yes,2.5,yes,furnished,False
7455000.0,4300.0,3.0,2.0,2.0,yes,no,yes,no,no,1.0,no,unfurnished,False
7420000.0,7440.0,3.0,2.0,1.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,False
7420000.0,7440.0,3.0,2.0,3.5,yes,no,no,no,no,1.0,yes,unfurnished,False
7420000.0,6325.0,3.0,1.0,3.5,yes,no,no,no,yes,1.0,no,unfurnished,False
7350000.0,6000.0,4.0,2.0,3.5,yes,yes,no,no,yes,1.0,no,furnished,False
7350000.0,5150.0,3.0,2.0,3.5,yes,no,no,no,yes,2.0,no,semi-furnished,False
7350000.0,6000.0,3.0,2.0,2.0,yes,yes,no,no,yes,1.0,no,semi-furnished,False
7350000.0,6000.0,3.0,1.0,2.0,yes,no,no,no,yes,1.0,no,unfurnished,False
7343000.0,10500.0,4.0,1.0,2.0,yes,no,yes,no,no,1.0,yes,semi-furnished,False
7245000.0,9000.0,4.0,2.0,3.5,yes,yes,no,no,yes,1.0,yes,furnished,False
7210000.0,7680.0,4.0,2.0,3.5,yes,yes,no,no,yes,1.0,no,semi-furnished,False
7210000.0,6000.0,3.0,2.0,3.5,yes,yes,no,no,yes,1.0,no,furnished,False
7140000.0,6000.0,3.0,2.0,2.0,yes,yes,no,no,no,1.0,no,semi-furnished,False
7070000.0,8880.0,2.0,1.0,1.0,yes,no,no,no,yes,1.0,no,semi-furnished,False
7070000.0,6240.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,no,furnished,False
